POOLSIZE,RESULTTYPE,TESTDATE,Trap No
50,NEGATIVE,6/4/2018 0:00,1
53,NEGATIVE,6/11/2018 0:00,1
50,NEGATIVE,6/12/2018 0:00,1
53,NEGATIVE,6/12/2018 0:00,1
50,NEGATIVE,5/30/2018 0:00,1
50,NEGATIVE,6/14/2018 0:00,1
36,NEGATIVE,6/19/2018 0:00,1
61,NEGATIVE,6/19/2018 0:00,1
18,NEGATIVE,6/21/2018 0:00,1
6,NEGATIVE,7/5/2018 0:00,1
28,NEGATIVE,6/28/2018 0:00,1
37,NEGATIVE,7/2/2018 0:00,1
6,NEGATIVE,7/9/2018 0:00,1
52,NEGATIVE,7/18/2018 0:00,1
8,NEGATIVE,7/30/2018 0:00,1
24,NEGATIVE,7/30/2018 0:00,1
14,NEGATIVE,8/1/2018 0:00,1
20,NEGATIVE,8/2/2018 0:00,1
34,POSITIVE,8/6/2018 0:00,1
34,NEGATIVE,8/7/2018 0:00,1
8,NEGATIVE,8/8/2018 0:00,1
25,POSITIVE,8/10/2018 0:00,1
5,NEGATIVE,8/15/2018 0:00,1
24,NEGATIVE,8/21/2018 0:00,1
15,POSITIVE,8/28/2018 0:00,1
27,NEGATIVE,9/6/2018 0:00,1
13,NEGATIVE,9/19/2018 0:00,1
53,NEGATIVE,6/1/2015 0:00,1
10,NEGATIVE,6/5/2015 0:00,1
12,NEGATIVE,6/10/2015 0:00,1
28,NEGATIVE,6/17/2015 0:00,1
14,NEGATIVE,6/26/2015 0:00,1
32,NEGATIVE,6/29/2015 0:00,1
7,NEGATIVE,7/1/2015 0:00,1
50,NEGATIVE,7/6/2015 0:00,1
50,NEGATIVE,7/6/2015 0:00,1
19,NEGATIVE,7/8/2015 0:00,1
20,NEGATIVE,7/10/2015 0:00,1
37,NEGATIVE,7/14/2015 0:00,1
16,NEGATIVE,7/22/2015 0:00,1
4,NEGATIVE,7/24/2015 0:00,1
5,NEGATIVE,7/27/2015 0:00,1
26,NEGATIVE,7/29/2015 0:00,1
3,NEGATIVE,8/3/2015 0:00,1
21,NEGATIVE,7/29/2015 0:00,1
7,NEGATIVE,7/31/2015 0:00,1
16,NEGATIVE,8/5/2015 0:00,1
7,NEGATIVE,8/4/2015 0:00,1
18,NEGATIVE,8/7/2015 0:00,1
43,NEGATIVE,8/10/2015 0:00,1
42,NEGATIVE,8/12/2015 0:00,1
50,NEGATIVE,8/17/2015 0:00,1
50,POSITIVE,8/17/2015 0:00,1
7,NEGATIVE,8/14/2015 0:00,1
50,POSITIVE,8/18/2015 0:00,1
34,NEGATIVE,8/18/2015 0:00,1
26,POSITIVE,8/26/2015 0:00,1
60,NEGATIVE,8/31/2015 0:00,1
50,NEGATIVE,9/8/2015 0:00,1
50,POSITIVE,9/8/2015 0:00,1
34,POSITIVE,9/11/2015 0:00,1
53,NEGATIVE,9/14/2015 0:00,1
30,NEGATIVE,9/15/2015 0:00,1
17,NEGATIVE,9/16/2015 0:00,1
4,POSITIVE,9/21/2015 0:00,1
2,NEGATIVE,10/17/2015 0:00,1
